operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
RmsNorm,left_only,1,0,36,0,288,0,1822.661,0.0,0.015191,0.0,-0.015191
_C::cooperative_topk,both,2,2,18,18,693,693,3571.31,3571.732,0.029765,0.011982,-0.017783
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,both,2,2,36,36,12384,12384,374614.855,380184.068,3.122204,1.275356,-1.846848
_C::per_token_group_fp8_quant,both,1,1,63,63,64428,64428,446669.347,461270.003,3.722738,1.547365,-2.175372
_C::persistent_topk,both,1,1,17,17,5334,5334,27777.357,28016.81,0.231509,0.093985,-0.137524
_C::rms_norm,right_only,0,1,0,36,0,288,0.0,2001.462,0.0,0.006714,0.006714
_C::silu_and_mul_with_clamp,both,1,1,36,67,12384,24768,66758.88,96613.227,0.556398,0.324096,-0.232301
_C::top_k_per_row_prefill,both,1,1,33,33,693,693,45017.477,44987.511,0.375195,0.150914,-0.224281
_C_cache_ops::cp_gather_indexer_k_quant_cache,both,1,1,32,32,693,693,2464.248,2464.472,0.020538,0.008267,-0.012271
_C_custom_ar::all_reduce,both,1,1,15,15,1305,1305,24159.182,1042320.849,0.201353,3.496545,3.295192
_flashmla_C::sparse_decode_fwd,both,3,3,175,175,25830,25830,485878.987,486809.667,4.049528,1.63304,-2.416488
_flashmla_C::sparse_prefill_fwd,both,1,1,99,99,1419,1419,1275718.173,1278188.586,10.632394,4.287781,-6.344612
_moe_C::moe_align_block_size,both,2,2,36,36,24768,24768,86909.011,90329.778,0.724338,0.303018,-0.42132
_moe_C::moe_wna16_marlin_gemm,both,3,3,72,72,24768,24768,3452684.698,3451011.342,28.776185,11.576681,-17.199505
_moe_C::topk_softplus_sqrt,both,1,2,72,72,12384,12384,75307.91,78572.696,0.627649,0.263578,-0.364071
aten::add,both,2,3,172,136,25344,12960,127953.17,112489.494,1.066418,0.377355,-0.689063
aten::argmax,both,1,1,64,64,288,288,9288.378,11137.165,0.077413,0.03736,-0.040053
aten::clamp,both,3,1,136,64,25344,576,39555.295,761.932,0.329671,0.002556,-0.327115
aten::clamp_,both,1,1,128,128,864,864,1730.674,1708.324,0.014424,0.005731,-0.008693
aten::copy_,both,5,5,355,391,5527,5815,19132.001,30851.324,0.159454,0.103493,-0.055961
aten::cumsum,both,1,2,3,3,33,66,34.851,88.068,0.00029,0.000295,5e-06
aten::embedding,left_only,1,0,36,0,288,0,1157.254,0.0,0.009645,0.0,-0.009645
aten::fill_,both,1,4,138,238,8447,22250,14902.636,34750.398,0.124205,0.116573,-0.007632
aten::floor_divide,both,1,3,64,64,1928,1928,2297.737,3106.573,0.01915,0.010421,-0.008729
aten::full,left_only,1,0,1,0,1419,0,8113.166,0.0,0.067619,0.0,-0.067619
aten::gather,right_only,0,1,0,28,0,280,0.0,1226.298,0.0,0.004114,0.004114
aten::ge,both,1,1,36,36,576,576,626.44,747.673,0.005221,0.002508,-0.002713
aten::index,both,3,3,37,37,576,576,1096.55,1073.311,0.009139,0.003601,-0.005539
aten::index_select,right_only,0,1,0,8,0,8,0.0,41.793,0.0,0.00014,0.00014
aten::masked_fill_,both,1,1,36,36,288,288,2110.534,3809.483,0.01759,0.012779,-0.004811
aten::mm,both,43,43,244,244,68559,68559,543073.074,579095.666,4.526209,1.942621,-2.583588
aten::mul,left_only,2,0,72,0,37152,0,50184.377,0.0,0.418259,0.0,-0.418259
aten::mul_,left_only,1,0,36,0,12384,0,14228.954,0.0,0.11859,0.0,-0.11859
aten::repeat,left_only,1,0,36,0,288,0,52094.517,0.0,0.434179,0.0,-0.434179
aten::sigmoid,left_only,1,0,36,0,12384,0,18907.097,0.0,0.15758,0.0,-0.15758
aten::sub,both,3,3,102,102,608,608,633.43,652.411,0.005279,0.002189,-0.003091
aten::sum,right_only,0,1,0,36,0,12384,0.0,385914.3,0.0,1.294579,1.294579
aten::zeros,left_only,1,0,1,0,12384,0,11309.693,0.0,0.09426,0.0,-0.09426
null,both,31,31,1,1,160036,160036,2186716.324,2218381.702,18.225051,7.441731,-10.78332
record_param_comms,both,1,1,64,64,288,288,18224.718,97528.796,0.151893,0.327168,0.175275
symm_mem::multimem_all_reduce_,both,1,1,21,21,23751,23751,1260547.443,17842034.081,10.505954,59.852465,49.346511
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,36,0,288,0,356.492,0.0,0.002971,0.0,-0.002971
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,36,0,288,0.0,368.402,0.0,0.001236,0.001236
vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,both,24,24,180,180,71508,71508,760778.379,794938.29,6.34066,2.666681,-3.673979
vllm::fused_inv_rope_fp8_quant_kernel,both,1,1,36,36,12384,12384,135120.575,138179.924,1.126154,0.463535,-0.662619
vllm::moe_forward_shared,left_only,1,0,36,0,12384,0,245178.421,0.0,2.043424,0.0,-2.043424
vllm::sparse_attn_indexer,both,2,2,36,36,6720,6720,103703.668,104796.334,0.864312,0.351547,-0.512764
